"DateTime","Users","Average Users"
"2019-02-25 00:00:00",639,
"2019-02-26 00:00:00",8861,
"2019-02-27 00:00:00",5074,
"2019-02-28 00:00:00",498,
"2019-03-01 00:00:00",1042,
"2019-03-02 00:00:00",1359,
"2019-03-03 00:00:00",884,
"2019-03-04 00:00:00",827,
"2019-03-05 00:00:00",735,
"2019-03-06 00:00:00",9527,
"2019-03-07 00:00:00",10212,
"2019-03-08 00:00:00",2266,
"2019-03-09 00:00:00",787,
"2019-03-10 00:00:00",678,
"2019-03-11 00:00:00",673,
"2019-03-12 00:00:00",10446,
"2019-03-13 00:00:00",9966,
"2019-03-14 00:00:00",3255,
"2019-03-15 00:00:00",658,
"2019-03-16 00:00:00",780,
"2019-03-17 00:00:00",1364,
"2019-03-18 00:00:00",920,
"2019-03-19 00:00:00",3576,
"2019-03-20 00:00:00",2625,
"2019-03-21 00:00:00",739,
"2019-03-22 00:00:00",847,
"2019-03-23 00:00:00",864,
"2019-03-24 00:00:00",807,
"2019-03-25 00:00:00",2300,
"2019-03-26 00:00:00",18178,
"2019-03-27 00:00:00",10086,
"2019-03-28 00:00:00",877,
"2019-03-29 00:00:00",1541,
"2019-03-30 00:00:00",13899,
"2019-03-31 00:00:00",2364,
"2019-04-01 00:00:00",1514,
"2019-04-02 00:00:00",17113,
"2019-04-03 00:00:00",9909,
"2019-04-04 00:00:00",1548,
"2019-04-05 00:00:00",11932,
"2019-04-06 00:00:00",18926,
"2019-04-07 00:00:00",16013,
"2019-04-08 00:00:00",1134,
"2019-04-09 00:00:00",21732,
"2019-04-10 00:00:00",12553,
"2019-04-11 00:00:00",15196,
"2019-04-12 00:00:00",5589,
"2019-04-13 00:00:00",1931,
"2019-04-14 00:00:00",1251,
"2019-04-15 00:00:00",1269,
"2019-04-16 00:00:00",30269,
"2019-04-17 00:00:00",15084,
"2019-04-18 00:00:00",2761,
"2019-04-19 00:00:00",1239,
"2019-04-20 00:00:00",1360,
"2019-04-21 00:00:00",1285,
"2019-04-22 00:00:00",1552,
"2019-04-23 00:00:00",24686,
"2019-04-24 00:00:00",8072,
"2019-04-25 00:00:00",1358,
"2019-04-26 00:00:00",1389,
"2019-04-27 00:00:00",25139,
"2019-04-28 00:00:00",2097,
"2019-04-29 00:00:00",1547,
"2019-04-30 00:00:00",28372,
"2019-05-01 00:00:00",9826,
"2019-05-02 00:00:00",1378,
"2019-05-03 00:00:00",1454,
"2019-05-04 00:00:00",1286,
"2019-05-05 00:00:00",1416,
"2019-05-06 00:00:00",1363,
"2019-05-07 00:00:00",21718,
"2019-05-08 00:00:00",20258,
"2019-05-09 00:00:00",5939,
"2019-05-10 00:00:00",1652,
"2019-05-11 00:00:00",1872,
"2019-05-12 00:00:00",1479,
"2019-05-13 00:00:00",1651,
"2019-05-14 00:00:00",20541,
"2019-05-15 00:00:00",6472,
"2019-05-16 00:00:00",13052,
"2019-05-17 00:00:00",6128,
"2019-05-18 00:00:00",2752,
"2019-05-19 00:00:00",1916,
"2019-05-20 00:00:00",1310,
"2019-05-21 00:00:00",22726,
"2019-05-22 00:00:00",13320,
"2019-05-23 00:00:00",3000,
"2019-05-24 00:00:00",1570,
"2019-05-25 00:00:00",1277,
"2019-05-26 00:00:00",1476,
"2019-05-27 00:00:00",1865,
"2019-05-28 00:00:00",25054,
"2019-05-29 00:00:00",9063,
"2019-05-30 00:00:00",23995,
"2019-05-31 00:00:00",6124,
"2019-06-01 00:00:00",1614,
"2019-06-02 00:00:00",2726,
"2019-06-03 00:00:00",1459,
"2019-06-04 00:00:00",21657,
"2019-06-05 00:00:00",10904,
"2019-06-06 00:00:00",1258,
"2019-06-07 00:00:00",2082,
"2019-06-08 00:00:00",1615,
"2019-06-09 00:00:00",2258,
"2019-06-10 00:00:00",1452,
"2019-06-11 00:00:00",18103,
"2019-06-12 00:00:00",17010,
"2019-06-13 00:00:00",5530,
"2019-06-14 00:00:00",1854,
"2019-06-15 00:00:00",12002,
"2019-06-16 00:00:00",1537,
"2019-06-17 00:00:00",1301,
"2019-06-18 00:00:00",15558,
"2019-06-19 00:00:00",8776,
"2019-06-20 00:00:00",1198,
"2019-06-21 00:00:00",1720,
"2019-06-22 00:00:00",1515,
"2019-06-23 00:00:00",1884,
"2019-06-24 00:00:00",21617,
"2019-06-25 00:00:00",9208,
"2019-06-26 00:00:00",1876,
"2019-06-27 00:00:00",2933,
"2019-06-28 00:00:00",3013,
"2019-06-29 00:00:00",2255,
"2019-06-30 00:00:00",2954,
"2019-07-01 00:00:00",3144,
"2019-07-02 00:00:00",2048,
"2019-07-03 00:00:00",23114,
"2019-07-04 00:00:00",11887,
"2019-07-05 00:00:00",2518,
"2019-07-06 00:00:00",7917,
"2019-07-07 00:00:00",2102,
"2019-07-08 00:00:00",2794,
"2019-07-09 00:00:00",28153,
"2019-07-10 00:00:00",10929,
"2019-07-11 00:00:00",5293,
"2019-07-12 00:00:00",2695,
"2019-07-13 00:00:00",1716,
"2019-07-14 00:00:00",1586,
"2019-07-15 00:00:00",2328,
"2019-07-16 00:00:00",31780,
"2019-07-17 00:00:00",8637,
"2019-07-18 00:00:00",1732,
"2019-07-19 00:00:00",1661,
"2019-07-20 00:00:00",1748,
"2019-07-21 00:00:00",1408,
"2019-07-22 00:00:00",1597,
"2019-07-23 00:00:00",28084,
"2019-07-24 00:00:00",27215,
"2019-07-25 00:00:00",5855,
"2019-07-26 00:00:00",1487,
"2019-07-27 00:00:00",1803,
"2019-07-28 00:00:00",1748,
"2019-07-29 00:00:00",1600,
"2019-07-30 00:00:00",29505,
"2019-07-31 00:00:00",18838,
"2019-08-01 00:00:00",2903,
"2019-08-02 00:00:00",1547,
"2019-08-03 00:00:00",1663,
"2019-08-04 00:00:00",1409,
"2019-08-05 00:00:00",1536,
"2019-08-06 00:00:00",28733,
"2019-08-07 00:00:00",18194,
"2019-08-08 00:00:00",7304,
"2019-08-09 00:00:00",24950,
"2019-08-10 00:00:00",2698,
"2019-08-11 00:00:00",1459,
"2019-08-12 00:00:00",1351,
"2019-08-13 00:00:00",28127,
"2019-08-14 00:00:00",16252,
"2019-08-15 00:00:00",27132,
"2019-08-16 00:00:00",4422,
"2019-08-17 00:00:00",2202,
"2019-08-18 00:00:00",1449,
"2019-08-19 00:00:00",1624,
"2019-08-20 00:00:00",31302,
"2019-08-21 00:00:00",9327,
"2019-08-22 00:00:00",1514,
"2019-08-23 00:00:00",2139,
"2019-08-24 00:00:00",1652,
"2019-08-25 00:00:00",1916,
"2019-08-26 00:00:00",1703,
"2019-08-27 00:00:00",28729,
"2019-08-28 00:00:00",12185,
"2019-08-29 00:00:00",1595,
"2019-08-30 00:00:00",1783,
"2019-08-31 00:00:00",1491,
"2019-09-01 00:00:00",1622,
"2019-09-02 00:00:00",1734,
"2019-09-03 00:00:00",23922,
"2019-09-04 00:00:00",8594,
"2019-09-05 00:00:00",1160,
"2019-09-06 00:00:00",20514,
"2019-09-07 00:00:00",1728,
"2019-09-08 00:00:00",1634,
"2019-09-09 00:00:00",1653,
"2019-09-10 00:00:00",19905,
"2019-09-11 00:00:00",12721,
"2019-09-12 00:00:00",12686,
"2019-09-13 00:00:00",3063,
"2019-09-14 00:00:00",19502,
"2019-09-15 00:00:00",1754,
"2019-09-16 00:00:00",2258,
"2019-09-17 00:00:00",20612,
"2019-09-18 00:00:00",5738,
"2019-09-19 00:00:00",1376,
"2019-09-20 00:00:00",1441,
"2019-09-21 00:00:00",1753,
"2019-09-22 00:00:00",1686,
"2019-09-23 00:00:00",1290,
"2019-09-24 00:00:00",16801,
"2019-09-25 00:00:00",10638,
"2019-09-26 00:00:00",3236,
"2019-09-27 00:00:00",10401,
"2019-09-28 00:00:00",17309,
"2019-09-29 00:00:00",3297,
"2019-09-30 00:00:00",16615,
"2019-10-01 00:00:00",28696,
"2019-10-02 00:00:00",1197,
"2019-10-03 00:00:00",1387,
"2019-10-04 00:00:00",1418,
"2019-10-05 00:00:00",2472,
"2019-10-06 00:00:00",1282,
"2019-10-07 00:00:00",11093,
"2019-10-08 00:00:00",17969,
"2019-10-09 00:00:00",9368,
"2019-10-10 00:00:00",17984,
"2019-10-11 00:00:00",9340,
"2019-10-12 00:00:00",1439,
"2019-10-13 00:00:00",1751,
"2019-10-14 00:00:00",23631,
"2019-10-15 00:00:00",18664,
